Вершина,Зависимое,Лемма вершины,Лемма зависимого,Форма вершины,Форма зависимого,Отношение,Гиперонимы вершины,Гиперонимы зависимого,HSWV,GSWV,Ярлык
1178,,,,,,,,,,родственник_S,родственник_S,
1179,,,,,,,,,,родственник_S,родственник_S,
1180,,,,,,,,,,родственник_S,родственник_S,
1181,,,,,,,,,,родственник_S,родственник_S,
1182,,,,,,,,,,родственник_S,родственник_S,
1183,,,,,,,,,,родственник_S,родственник_S,
1184,,,,,,,,,,родственник_S,родственник_S,
1185,,,,,,,,,,родственник_S,родственник_S,
1186,,,,,,,,,,родственник_S,родственник_S,
1187,,,,,,,,,,родственник_S,родственник_S,
1188,,,,,,,,,,родственник_S,родственник_S,
1189,,,,,,,,,,родственник_S,родственник_S,
1190,,,,,,,,,,родственник_S,родственник_S,
1191,,,,,,,,,,родственник_S,родственник_S,
1192,,,,,,,,,,родственник_S,родственник_S,
1193,,,,,,,,,,родственник_S,родственник_S,
1194,,,,,,,,,,родственник_S,родственник_S,
1195,,,,,,,,,,родственник_S,родственник_S,
1196,,,,,,,,,,родственник_S,родственник_S,
1197,,,,,,,,,,родственник_S,родственник_S,
1198,,,,,,,,,,родственник_S,родственник_S,
1199,,,,,,,,,,родственник_S,родственник_S,
1200,,,,,,,,,,родственник_S,родственник_S,
1201,,,,,,,,,,родственник_S,родственник_S,
1202,,,,,,,,,,родственник_S,родственник_S,
1203,,,,,,,,,,родственник_S,родственник_S,
1204,,,,,,,,,,родственник_S,родственник_S,
1205,,,,,,,,,,родственник_S,родственник_S,
1206,,,,,,,,,,родственник_S,родственник_S,
1207,,,,,,,,,,родственник_S,родственник_S,
1208,,,,,,,,,,родственник_S,родственник_S,
1209,,,,,,,,,,родственник_S,родственник_S,
